gameid,startTime,endTime,homeTeam,homeShots,awayTeam,awayShots
2015020919,"2016-02-27T05:24:42Z","2016-02-27T05:26:58Z","ANA",1,"EDM",0
2015020923,"2016-02-27T22:47:59Z","2016-02-27T22:59:05Z","CBJ",3,"FLA",1
2015020941,"2016-03-01T04:12:01Z","2016-03-01T04:17:48Z","DAL",0,"DET",4
2015020944,"2016-03-02T03:07:29Z","2016-03-02T03:17:05Z","BUF",0,"EDM",6
2015020946,"2016-03-02T03:09:05Z","2016-03-02T03:19:07Z","OTT",4,"STL",4
2015020953,"2016-03-03T05:44:08Z","2016-03-03T05:50:53Z","ANA",2,"MTL",2
2015020960,"2016-03-04T03:52:41Z","2016-03-04T03:58:05Z","NSH",0,"NJD",6
2015020961,"2016-03-04T03:37:08Z","2016-03-04T03:40:15Z","WPG",0,"NYI",2
2015020969,"2016-03-05T20:39:22Z","2016-03-05T20:48:18Z","BUF",4,"MIN",3
2015020973,"2016-03-06T02:43:48Z","2016-03-06T02:48:31Z","BOS",3,"WSH",4
2015020975,"2016-03-06T02:31:58Z","2016-03-06T02:39:08Z","TBL",4,"CAR",4
2015020987,"2016-03-08T03:09:32Z","2016-03-08T03:20:14Z","TOR",1,"BUF",4
2015020988,"2016-03-08T03:32:23Z","2016-03-08T03:38:38Z","FLA",6,"BOS",4
2015020990,"2016-03-08T04:34:51Z","2016-03-08T04:35:59Z","CGY",0,"SJS",1
2015020991,"2016-03-08T05:31:36Z","2016-03-08T05:41:44Z","ANA",2,"WSH",3
2015020995,"2016-03-09T02:32:30Z","2016-03-09T02:39:23Z","CAR",2,"OTT",1
2015020997,"2016-03-09T03:14:32Z","2016-03-09T03:16:52Z","MTL",2,"DAL",0
2015020998,"2016-03-09T03:04:39Z","2016-03-09T03:05:33Z","TBL",0,"BOS",1
2015021001,"2016-03-10T02:42:08Z","2016-03-10T02:50:12Z","TOR",4,"NYI",2
2015021002,"2016-03-10T03:42:01Z","2016-03-10T03:51:09Z","STL",2,"CHI",2
2015021003,"2016-03-10T05:03:42Z","2016-03-10T05:06:14Z","CGY",1,"NSH",0
2015021005,"2016-03-10T05:39:34Z","2016-03-10T05:42:37Z","VAN",4,"ARI",2
2015021006,"2016-03-10T06:10:48Z","2016-03-10T06:14:48Z","LAK",3,"WSH",1
2015021007,"2016-03-11T02:37:04Z","2016-03-11T02:41:53Z","BOS",0,"CAR",3
2015021019,"2016-03-12T21:40:07Z","2016-03-12T21:44:48Z","DET",5,"NYR",4
2015021020,"2016-03-12T20:35:09Z","2016-03-12T20:43:52Z","BUF",3,"CAR",2
2015021023,"2016-03-13T01:47:21Z","2016-03-13T01:56:59Z","FLA",1,"PHI",2
2015021025,"2016-03-13T03:41:58Z","2016-03-13T03:45:35Z","DAL",1,"STL",3
2015021028,"2016-03-13T05:01:30Z","2016-03-13T05:08:55Z","LAK",2,"NJD",4
